Global Property ID;Source Property ID;Global Property Name;Global Chain Code;Property Address 1;Property Address 2;Primary Airport Code;Property City Name;Property State/Province;Property Zip/Postal;Property Country Code;Property Phone Number;Property Fax Number;Sabre Property Rating;Property Latitude;Property Longitude;Source Group Code
102697661;606772;Abode Phillip;GD;6 Furzer Street;;CBR;Phillip;ACT;2606;AU;61-02-62200120;;03.May;-35.340.918;149.083.709;SABRE_GDS
102323109;396722;Urban Rest - Mulwarree Avenue;GD;9 Mulwarree Ave;;SYD;Randwick;NSW;2031;AU;61-2-72022327;;4;-3.390.758;15.123.598;SABRE_GDS
100193620;311994;Quest Macquarie Park;GD;71 Epping Road;Macquarie Park;SYD;Sydney;NSW;2113;AU;61-2-88794600;61-2-88794699;4;-3.378.822;15.112.676;SABRE_GDS
100243884;611629;Kingsford The Barossa;GD;68 Kingsford Road;;ADL;Kingsford;SA;5118;AU;61-8-85248120;61-8-85248120;04.May;-34.548.888;138.796.689;SABRE_GDS
100206592;318890;Quest Midland;GD;3 The Crescent;;PER;Midland;WA;6056;AU;61-8-61483900;;4;-3.188.898;11.600.398;SABRE_GDS
100700730;383730;Astra Apartments Glen Waverley At O'sullivan Road;GD;52-54 O'sullivan Road;;MEL;Melbourne;VIC;;AU;61432540728;;4;-3.787.869;14.516.496;SABRE_GDS
100809341;286241;Wattle Grove Motel;GD;610 Welshpool Road;;PER;WATTLE GROVE;WA;6107;AU;61-8-93591119;61-8-93591159;3;-32.006.665;115.989.431;SABRE_GDS
102270603;601485;Studios On King;GD;202 King Street;;NTL;Newcastle;NSW;2300;AU;61-2-45084009;61-2-45084009;03.May;-3.292.721;15.177.575;SABRE_GDS
100027348;147086;Quest Bendigo Central;GD;228 Mccrae Street.;;BXG;Bendigo;VIC;3550;AU;61 3 5410 1300;61 3 5410 1399;4;-3.675.231;14.428.904;SABRE_GDS
100797449;177998;The Executive Inn Newcastle;GD;10 Rugby Road;;NTL;New Lambton;NSW;02305;AU;61-2-49351100;61-2-49351481;4;-32.920.694;151.714.714;SABRE_GDS
100384002;366847;Gidgee Inn;GD;48 Mcilwraith Street;;CNJ;Cloncurry;QLD;4824;AU;61-747421599;;4;-2.070.707;14.052.663;SABRE_GDS
101107716;614990;Cootamundra Caravan Park;GD;55 Mackay St;;SYD;Cootamundra;NSW;2590;AU;61-02-69421080;61-02-69421080;02.May;-34.638.704;148.021.771;SABRE_GDS
100605090;325079;Mid City Hotel Ballarat;GD;19 Doveton St Nth;;AVV;Ballarat;VIC;3350;AU;61-3-53277588;;3;-3.756.846;14.385.381;SABRE_GDS
100245718;381746;City Centre Motel Armidale;GD;146 Dangar St;;ARM;Armidale;NSW;2350;AU;61-2-67722351;;03.May;-30.516.699;151.663.623;SABRE_GDS
100350888;46828;Cotswold Gardens Armidale;GD;34 Marsh Street;Armidale Sw Au 2350;ARM;Armidale;NSW;2350;AU;61267728222;61-2-67725139;03.May;-3.050.659;15.167.144;SABRE_GDS
100700782;387240;Urban Rest - Collins St Docklands;GD;888 Collins Street;;MEL;Melbourne;VIC;3008;AU;61383760813;;-1;-37.818.995;144.954.145;SABRE_GDS
100203080;316911;Quest Innaloo;GD;1 Sunray Drive;Innaloo;PER;Innaloo;WA;6018;AU;61-861482600;61-3-86991555;4;-3.189.562;11.580.229;SABRE_GDS
102289045;601618;Reflections Wyangala Waters -;GD;2891 Reg Hailstone Way;;CWT;Wyangala;NSW;2808;AU;61-2-63450877;;2;-3.392.454;14.894.843;SABRE_GDS
100442780;319202;Quest Cannon Hill;GD;930 Wynnum Road;;BNE;Cannon Hill;QLD;4170;AU;61-7-35566000;61-3-86991555;4;-2.746.812;15.308.859;SABRE_GDS
102135001;386621;Sky One Apartments By Cllix;GD;545 Station Street;;MEL;Box Hill;VIC;3128;AU;61-3-70386777;;4;-37.819.922;145.123.013;SABRE_GDS
100036546;1589;Quest Geelong;GD;16 18 The Esplanade South;;GEX;Geelong;VIC;3220;AU;61352282000;61352282199;3;-3.813.786;14.435.425;SABRE_GDS
100208408;611628;Lilianfels Blue Mountains Reso;GD;5 19 Lilianfels Avenue;;SYD;Katoomba;NSW;2780;AU;61-2-47801200;61-2-47801200;5;-3.372.935;150.309.653;SABRE_GDS
100805547;280352;Quest Liverpool;GD;39 Scott Street;;SYD;Liverpool;NSW;2170;AU;61-2-87380800;61-2-87380899;04.May;-33.925.089;150.924.902;SABRE_GDS
100259110;606840;City Centre Motel Kempsey;GD;95 Smith St;;PQQ;Kempsey;NSW;2440;AU;61-2-65627733;;03.May;-31.076.148;152.844.442;SABRE_GDS
100055226;186984;Colmslie Hotel Suites And Conf;GD;Corner Of Wynnum And Junction .;;BNE;Brisbane;QLD;04170;AU;61-7-33998222;61-7-33992947;04.May;-27.466.109;153.078.677;SABRE_GDS
102270371;614993;Young Tourist Caravan Park;GD;17 Edward Street;;CBR;Young;NSW;2594;AU;61-02-63822190;61-02-63822190;2;-34.31;148.303.056;SABRE_GDS
102942997;614715;Quest On Wickham Terrace;GD;375 Wickham Terrace;;BNE;Spring Hill;QLD;7000;AU;1-800-333-4033;;-1;-2.746.373;153.020.958;SABRE_GDS
100927277;608759;Discovery Parks - Moama Waters;GD;96 Old Barmah Road;;ECH;Moama;NSW;2731;AU;61-3-54807717;;2;-36.111.258;144.791.457;SABRE_GDS
100183568;305679;Discovery Parks Lake Bonney;GD;Lakeside Drive;;MQL;Barmera;SA;5345;AU;1-800-094828;61-8-858-81974;3;-34.251.098;140.453.618;SABRE_GDS
102643751;606972;Haberfield Hotel;GD;215-217 Parramatta Road;;SYD;Haberfield;NSW;2045;AU;02-8111-8000;02-8111-8000;04.May;-33.878.108;151.131.034;SABRE_GDS
100256820;391728;Santa Fe Motel;GD;8 Byron Street;;BNK;Lennox Head;NSW;2478;AU;61-2-66877788;61-2-66877788;3;-2.879.313;15.359.206;SABRE_GDS
102415703;397901;Quest Watergardens;GD;451 Kings Rd;;MEL;Taylors Lake;VIC;3038;AU;61-3-73036000;;4;-37.698.692;144.779.988;SABRE_GDS
100202158;316455;Spicers Sangoma Retreat;GD;70 Grandview Lane;.;SYD;Bowen Mountain;NSW;2753;AU;61-2-45722592;;5;-33.582.561;150.633.394;SABRE_GDS
102643717;607061;Kula Wollongong;GD;35 Atchinson St;Wollongong;WOL;Wollongong;NSW;2500;AU;61-2-72537020;;4;-34.428.444;150.890.673;SABRE_GDS
100204750;317773;Rockingham Apartments-spinnakers;GD;61 Rockingham Beach Rd;;PER;Rockingham;WA;6168;AU;61-419444787;;4;-3.227.323;1.157.343;SABRE_GDS
100223614;40166;Sandown Regency;GD;447 Princess Highway;;MEL;Noble Park;VIC;03174;AU;61-395-483444;61-395-482520;3;-37.955.489;145.180.291;SABRE_GDS
101109950;602881;291 On King;GD;291;King;NTL;Newcastle;NSW;2300;AU;1800 291 291;1800 291 291;03.May;-32.928.491;151.768.017;SABRE_GDS
100244936;413465;Biloela Countryman;GD;75 83 Burnett Highway;;ROK;Biloela;QLD;4564;AU;61-7-49921488;6-174-992-2445;03.May;-2.440.983;150.517.291;SABRE_GDS
100183256;305489;Discovery Holiday Parks Clare;GD;Lot 136 Main North Rd;;ADL;Clare;SA;5453;AU;61-8-88422724;61-8-8842-3447;4;-33.841.195;138.616.289;SABRE_GDS
100027072;146667;Avonmore On The Park;GD;34 The Avenue;;SYD;Randwick;NSW;2031;AU;61-293-999388;61-293-999488;4;-3.391.239;15.124.129;SABRE_GDS
100315780;45095;Rowville International Hotel;GD;1233 Stud Rd;;MEL;Rowville;VIC;3178;AU;61-3 9764 5050;61-3 9764 5148;03.May;-3.793.035;14.523.305;SABRE_GDS
100913591;327867;Astra Macquarie Park;GD;1 Saunders Close;;SYD;Macquarie Park;NSW;2113;AU;61-419-635-822;;3;-33.779.323;151.115.244;SABRE_GDS
100632449;606422;Premier Mill Hotel;GD;Cnr Austral Terrace And Clive;;PER;Katanning;WA;6317;AU;61-08-65003950;;03.May;-3.369.118;117.555.082;SABRE_GDS
100218058;38292;Quest Savoy;GD;38 Elizabeth Street;;HBA;Hobart;TAS;7000;AU;61-3-62202300;61-3-62240997;4;-4.288.232;14.732.895;SABRE_GDS
100394406;53821;Quest Trinity House;GD;149 Brooker Avenue;;HBA;Hobart;TAS;7000;AU;61362369656;61362369655;03.May;-4.287.319;1.473.259;SABRE_GDS
100055094;186881;Ikon Hotel;GD;22 Mount St;;BWT;Burnie;TAS;07320;AU;61-364-324566;61-364-319116;4;-41.050.899;145.905.278;SABRE_GDS
100010974;118002;Kennedy Drive Airport Motel;GD;203 Kennedy Drive;;OOL;Tweed Heads;NSW;2485;AU;61-7-55369288;;4;-2.818.752;15.351.488;SABRE_GDS
100372708;47903;Heritage Motor Inn Corowa;GD;25 Edward St;;CWW;Corowa;NSW;2646;AU;61-2-60331800;61-2-60331800;03.May;-36.001.838;146.386.436;SABRE_GDS
100054350;18617;Zebra Motel Coffs Harbour;GD;27 Grafton Street;;CFS;Coffs Harbour;NSW;2444;AU;61-2-66521588;;3;-30.299.941;153.111.632;SABRE_GDS
100262110;284799;Discovery Parks - Emerald Beac;GD;73 Fisherman's Drive;;CFS;Emerald Beach;NSW;2456;AU;61-2-66561521;;03.May;-3.016.792;15.318.757;SABRE_GDS
100591768;607870;Discovery Resorts - Lake Argyl;GD;525 Lake Argyle Road;;KNX;Lake Argyle;WA;6743;AU;61-8-91687777;;02.May;-16.112.739;1.287.403;SABRE_GDS
100249048;601730;Reflections Seal Rocks - Holid;GD;Kinka Road;;NTL;Seal Rocks;NSW;2423;AU;61-2-49976164;61-2-49976164;3;-3.243.574;15.253.247;SABRE_GDS
100448078;601651;Reflections Bonny Hills - Holi;GD;920 Ocean Drive;;PQQ;Bonny Hills;NSW;2445;AU;61-2-65855276;;3;-31.591.759;152.840.118;SABRE_GDS
102475925;603803;Ferntree Rainforest Lodge;GD;36 Camelot Close;;CNS;Cape Tribulation;QLD;4873;AU;61-7-40980000;;3;-1.608.829;14.546.038;SABRE_GDS
101082040;601244;Quest Woolooware Bay;GD;457 Captain Cook Drive;;SYD;Woolooware;NSW;2230;AU;1800-334-033;;5;-34.039.469;15.114.129;SABRE_GDS
102479515;604219;Urban Rest - Port Adelaide;GD;26 Jubilee St;;ADL;Port Adelaide;SA;5015;AU;61-2-72022327;;04.May;-3.484.269;13.850.817;SABRE_GDS
100203544;317143;Quest Flemington Central;GD;1 Ascot Vale Road Flemington;;MEL;Melbourne;VIC;3031;AU;61 3 85958880;61 3 8595 8881;4;-3.778.681;14.492.134;SABRE_GDS
100233054;407077;Discovery Parks - Moama West;GD;Merool Road;;ECH;Moama;NSW;2731;AU;61-3-54825500;61-3-54809358;3;-36.105.232;144.730.185;SABRE_GDS
100929091;327734;Holiday Inn Express Sydney Airport;HI;2 12 Sarah Street;;SYD;Mascot;NSW;2020;AU;61-02-92376900;61-02-92471875;4;-339.304;15.118.566;SABRE_GDS
102266401;393307;Holiday Inn Express Melbourne Little Collins;HI;589-599 Little Collins Street;;MEL;Melbourne;VIC;3000;AU;61-3-90599059;;4;-3.781.786;14.495.508;SABRE_GDS
100042206;16865;Peppermill Inn;HO;7900 Goulburn Valley Highway;;MEL;Kialla;VIC;03631;AU;61-03-58231800;61-1-11111111;3;-3.641.999;14.539.137;SABRE_GDS
100581390;284833;Lanai Riverside Apartments;HO;20 River St;.;MKY;Mackay;QLD;4740;AU;61-7-49574401;61-7-49574402;4;-21.138.447;149.182.059;SABRE_GDS
100021534;13949;Hotel Bruce County;HO;445 Blackburn Road;.;MEL;Mt Waverley;VIC;03149;AU;61-3-88058400;61-3-98879284;4;-3.789.288;14.514.432;SABRE_GDS
100204175;284701;Mackay Seabreeze Apartments;HO;14 Scawfell Avenue;Slade Point;MKY;Mackay;QLD;04740;AU;61-7-49551644;61-7-49551644;4;-2.107.706;14.922.561;SABRE_GDS
102497027;605181;M Hotel;HO;91 York Street;;MEL;Sale;VIC;03850;AU;61-3-51441444;61-3-51441444;4;-3.811.067;14.706.831;SABRE_GDS
100604160;327811;Margaret River Motel;HO;18 Farrelly Street;;BQB;Margaret River;WA;06285;AU;61-8-97573177;;03.May;-3.395.313;11.506.994;SABRE_GDS
100231766;406361;North Pier Hotel;HO;5 The Esplanade;.;MEL;Cowes;VIC;3922;AU;61-3-5951-4488;61-3-59522316;3;-38.448.203;145.241.503;SABRE_GDS
100234504;40785;Medusa;HO;267 Darlinghurst Road;Darlinghurst;SYD;Sydney;NSW;02010;AU;61-2-93311000;61-2-93806901;4;-3.387.769;15.122.032;SABRE_GDS
100158144;283159;Yarra Gables Motel;HO;55 Maroondah Highway;;MEL;Healesville;VIC;03777;AU;61-3-59621323;61-3-59621323;4;-37.664.059;145.513.245;SABRE_GDS
100380700;376795;Cardwell At The Beach;HQ;215 Victoria St;;PMK;Cardwell;QLD;4849;AU;61740668500;61740668028;3;-182.577;14.601.801;SABRE_GDS
100250946;379085;Beach House Motel;HQ;66 The Strand;;TSV;North Ward;QLD;4810;AU;61747211333;61747716893;03.May;-1.924.896;14.681.344;SABRE_GDS
100380624;365788;Ultiqa Beach Haven At Broadbeach;HQ;1 Albert Avenue;;OOL;Broadbeach;QLD;4218;AU;61755703888;61755703175;4;-2.802.766;15.343.328;SABRE_GDS
100254710;341141;Charlton Apartments;HQ;451 452 Charlton Esplanade;;HVB;Hervey Bay;QLD;4655;AU;61741948200;6107 4125 1221;-1;-2.528.378;15.287.663;SABRE_GDS
100233948;343912;Tokemata Retreat;HQ;100 Cemetery Rd;;ABX;Cobram East;NSW;3644;AU;61358735332;61358735332;4;-359.585;14.571.419;SABRE_GDS
100254724;362871;La Vida On Anzac;HQ;41 Anzac Avenue;;BNE;Redcliffe;QLD;4020;AU;61738974700;61738974799;4;-2.723.107;15.311.295;SABRE_GDS
102116767;350285;Darwin Waterfront Luxury Suites;HQ;19 Kitchener Street;;DRW;Darwin;NT;801;AU;61889218833;61889218833;4;-1.246.719;13.084.546;SABRE_GDS
100280204;380222;Redearth Motel;HQ;469 Argent Street;;BHQ;Broken Hill;NSW;2880;AU;61880885694;61.;4;-3.195.551;1.414.709;SABRE_GDS
100285482;385006;Moura Meridian Motel;HQ;29 Dawson Highway;;THG;Moura;QLD;4718;AU;61749976100;61749972902;4;-2.457.082;14.997.047;SABRE_GDS
100230374;336472;Outrigger Resort;HQ;2007 Gold Coast Highway;;OOL;Burleigh Heads;QLD;4220;AU;61755351111;61755763370;03.May;-280.752;15.344.535;SABRE_GDS
100250026;378758;Mcnevins Warwick Motel;HQ;New England Highway And Glen;Road;OKY;Warwick;QLD;4370;AU;61746615588;61746615569;03.May;-2.822.589;15.201.888;SABRE_GDS
100248674;357507;Beachside Apartments;HQ;537 Nepean Highway;;MBW;Bonbeach;VIC;3196;AU;61397726516;61397722532;4;-38.063.469;145.119.547;SABRE_GDS
100230892;380166;Ivory Palms Resort;HQ;73 Hilton Terrace;;MCY;Noosaville;QLD;4566;AU;61754731700;61754741922;4;-2.639.842;1.530.495;SABRE_GDS
100380684;385041;Tinaroo Resort;HQ;29 Palm Street;;CNS;Tinaroo;QLD;4872;AU;61740958912;61740958912;4;-1.716.865;14.555.149;SABRE_GDS
100243092;385246;Milton Village Motel;HQ;Princes Highway;;MYA;Milton;NSW;2538;AU;61244551944;61244553244;-1;-3.533.134;15.045.008;SABRE_GDS
100250660;379725;Buckaroo Motor Inn;HQ;86 Wood Street;;OKY;Warwick;QLD;4370;AU;61746613755;61746618099;03.May;-2.821.941;15.202.325;SABRE_GDS
101086196;345339;Novotel Lake Crackenback Resort Spa;HQ;1650 Alpine Way Crackenback;;OOM;JINDABYNE;NSW;2627;AU;61264513000;61264561008;4;-36.439.917;148.517.944;SABRE_GDS
100274904;380456;Kallangur Motel;HQ;1517 Anzac Avenue;;BNE;Kallangur;QLD;4503;AU;61738862366;61738862366;3;-2.725.049;15.300.092;SABRE_GDS
100280068;352351;Esperance Beachfront Resort;HQ;19 The Esplanade;;EPR;Esperance;WA;6450;AU;61890712513;61890712325;03.May;-3.385.636;12.189.765;SABRE_GDS
100247672;341636;Seascape Retreat;HQ;185 Old Coach Road;;ADL;Victor Harbor;SA;5211;AU;61409584901;61.;5;-3.546.421;13.863.072;SABRE_GDS
100584618;341978;Taihoa Holiday Units;HQ;24 Kennedy Esplanade;;PMK;Mission Beach;QLD;4852;AU;61740689446;61740689446;-1;-17.946.913;146.091.229;SABRE_GDS
100041227;369440;King Reef Resort;HQ;75 Jacobs Road;;CNS;Kurrimine Beach;QLD;4871;AU;61740656144;61740656172;03.May;-1.778.188;14.610.118;SABRE_GDS
100032900;152306;Aspect Tamar Valley Resort;HQ;7 Waldhorn Drive.;;LST;Grindelwald;TAS;7277;AU;61363300400;61363301607;4;-4.135.122;14.700.475;SABRE_GDS
100258524;373300;Koola Beach Apartments Bargara;HQ;52 Johnson Street;;BDB;Bargara;QLD;4670;AU;61741301300;61741301301;04.May;-2.481.043;15.245.648;SABRE_GDS
100383882;341775;Hermitage Motel;HQ;62 68 Maitland Road;;NTL;Muswellbrook;NSW;2333;AU;61265431188;61265431486;3;-3.227.958;15.089.922;SABRE_GDS
100234272;357015;Aza Motel;HQ;114 Keen Street;;LSY;Lismore;NSW;2480;AU;61266219499;61266221554;-1;-2.880.891;1.532.793;SABRE_GDS
100231540;342073;Nrma Sydney Lakeside Holiday Park;HQ;38 Lake Park Road;;SYD;North Narrabeen;NSW;2101;AU;612 9913 7845;612 9970 6385;04.May;-3.370.229;15.130.466;SABRE_GDS
102173797;385313;Must At Coonawarra;HQ;126 Church St;;MGB;Penola;SA;5277;AU;61887373444;61887373644;03.May;-3.736.824;14.083.925;SABRE_GDS
100243012;362193;Siesta Villa Motel;HQ;104 Glenlyon Street;;GLT;Gladstone;QLD;4680;AU;61749724922;61749724576;3;-2.384.759;15.125.641;SABRE_GDS
100251172;361263;Pavillions On 1770 Agnes Waters;HQ;4 Beaches Village Circuit;;GLT;Agnes Water;QLD;4677;AU;61749021000;61749747408;03.May;-2.419.697;151.898.347;SABRE_GDS
100115445;341233;Regatta Riverfront Apartments;HQ;221 - 227 Gympie Terrace;;MCY;Noosa;QLD;4566;AU;61754490522;61754490909;4;-263.976;15.306.444;SABRE_GDS
100234098;373501;The Seahorse Inn;HQ;Boydtown Park Road;;MIM;Eden;NSW;2551;AU;61264961361;61264964211;4;-3.710.509;14.987.695;SABRE_GDS
100381106;348155;Heritage Resort Weipa;HQ;55 Commercial Avenue;;WEI;Weipa;QLD;4874;AU;61740698000;61740698011;3;-126.387;14.186.362;SABRE_GDS
100242714;353693;Narellan Motor Inn;HQ;2-5 The Old Northern Road;;SYD;Narellan;NSW;2567;AU;61246461044;61246461429;3;-3.404.016;15.073.505;SABRE_GDS
100253422;361061;Fox Glenn Motor Inn;HQ;30 Nicholls Road;;MCY;Gympie;QLD;4570;AU;61754823199;61754828468;3;-2.621.313;15.268.066;SABRE_GDS
100233116;346664;Villa Della Rosa;HQ;5 Platt Place;;OOL;North Tamborine;QLD;4272;AU;61755453375;61755453375;-1;-2.791.906;15.317.426;SABRE_GDS
100233716;359284;Fiori Apartments;HQ;13 15 Hassall Street;;SYD;Parramatta;NSW;2150;AU;61298060800;61298060205;3;-3.381.841;15.100.862;SABRE_GDS
100249536;329080;Red Bridge Motor Inn;HQ;380 Nambour Connection Road;;MCY;Sunshine Coast;QLD;4559;AU;61754423933;61754423922;4;-2.665.774;15.296.918;SABRE_GDS
100500452;345410;Apartments Melbourne Domain - South Melbourne;HQ;50 Albert Road;;MBW;South Melbourne;VIC;3205;AU;61396003652;61396003652;-1;-3.783.415;1.449.714;SABRE_GDS
100284906;335805;Metro Motel;HQ;110 - 116 George Street;;ROK;Rockhampton;QLD;4700;AU;61748076550;61748076550;03.May;-2.337.956;15.050.423;SABRE_GDS
100602832;341119;One Mile Beach Holiday Park;HQ;426 Gan Gan Road;;NTL;One Mile Beach;NSW;2316;AU;492 4982 1047;492 4982 2832;3;-32.776.437;152.113.515;SABRE_GDS
100255584;384955;Charm City Motel;HQ;23 Takalvan Street;;BDB;Bundaberg;QLD;4670;AU;61741522284;61741531506;03.May;-2.487.292;15.233.296;SABRE_GDS
100380898;349096;Villawood Hotel;HQ;924 Woodville Road;;SYD;Villawood;NSW;2163;AU;61297244231;61297541480;3;-3.388.604;1.509.745;SABRE_GDS
100231632;341065;Apartments On Lygon;HQ;700 Lygon Street;;MBW;Melbourne;VIC;3054;AU;61393453888;61393491250;-1;-37.789.617;144.969.047;SABRE_GDS
100250190;351824;Apple And Grape Motel;HQ;63 Maryland Street;;LSY;Stanthorpe;QLD;4380;AU;61746811288;61746813855;03.May;-286.589;15.193.419;SABRE_GDS
100012320;12017;Intercontinental Brisbane;IC;190 Elizabeth Street;;BNE;Brisbane;;4001;AU;61-7-3234-2000;61-7-3231-3199;5;-2.746.915;15.302.704;SABRE_GDS
100041404;16768;Intercontinental Sanctuary Cove Resort;IC;Manor Circle Po Box 200.;;BNE;Sanctuary Cove;;4212;AU;61-7-5530 1234;61-7-5577-8234;5;-2.785.299;15.335.968;SABRE_GDS
102929311;613837;Hotel Indigo Little Collins;IN;288 Little Collins Street Blgd;;MEL;Melbourne;VIC;3000;AU;61-0421-089488;;-1;-37.814.812;144.964.863;SABRE_GDS
100213334;35334;Pelican Beach Resort Australis;IQ;Pacific Highway.;;CFS;Coffs Harbour;;2450;AU;02-66537000;02-66537066;-1;-30.247.395;153.142.821;SABRE_GDS
100413500;66964;Sheraton Motor Hotel;LM;40 Macleay St.;;SYD;Potts Point;;2011;AU;612-358-1955;612-356-2005;-1;-3.387.052;15.122.529;SABRE_GDS
102592345;606353;Punthill Tuggeranong;LM;205 Anketell Street;;CBR;Greenway;ACT;2900;AU;6,11301E+11;;04.May;-35.416.192;149.068.574;SABRE_GDS
100419488;71545;Punthill Essendon;LM;1142 Mount Alexander Rd;;MEL;Essendon;;3040;AU;61-3-99168888;61-3-99168899;04.May;-3.774.431;14.491.056;SABRE_GDS
100179782;29957;Hotel Grand Chancellor Hobart;LM;1 Davey Street;;HBA;Hobart;TAS;07000;AU;61-3-62354535;61-3-62238175;04.May;-4.288.068;14.733.368;SABRE_GDS
100132005;319958;Punthill Ivanhoe;LM;21 Bell Street;;MEL;Ivanhoe;VIC;3079;AU;61-03-9916-8888;61-03-9916-8899;4;-37.755;14.505.612;SABRE_GDS
102587837;606355;Punthill Sunshine;LM;81 Derby Road;;MEL;Sunshine;VIC;3020;AU;6,11301E+11;;04.May;-37.790.843;144.832.897;SABRE_GDS
100009284;114962;Punthill South Yarra Grand;LM;7 Yarra Street;;MEL;SOUTH YARRA;;3141;AU;61 3 99168800;61-3-99168899;4;-3.783.859;14.499.258;SABRE_GDS
101082058;601022;Punthill Parramatta;LM;404 Church Street;;CDU;Parramatta;NSW;2150;AU;61 2 7813 4888;;-1;-3.380.786;15.100.553;SABRE_GDS
100541354;41043;The Peninsula;LM;53 South Perth Esplanade;;PER;South Perth;;6151;AU;61-8-93686688;61-8-93686689;4;-3.197.061;11.585.068;SABRE_GDS
100364656;4751;Melbourne Marriott Hotel;MC;Corner Exhibition And Lonsdale;;MEL;Melbourne;VIC;3000;AU;61-3-96623900;61-3-96634297;5;-3.781.018;14.496.963;SABRE_GDS
100428708;81340;Oaks Brisbane Festival Suites;OH;108 Albert Street;;BNE;Brisbane;QLD;4000;AU;61-7-30278800;61-7-30128885;4;-274.716;15.302.665;SABRE_GDS
100078730;21795;Oaks Sydney Hyde Park Suites;OH;38 College Street;;SYD;Sydney;NSW;2010;AU;61-2-83020890;61-2-93316022;4;-3.387.659;15.121.224;SABRE_GDS
100432948;85660;Oaks Ipswich Aspire Suites;OH;1 West Street Woodend;.;BNE;Ipswich;QLD;4305;AU;61-7-32805100;61-7-32805199;4;-27.612.723;152.757.519;SABRE_GDS
100397556;55885;Oaks Waterfront Suites;OH;89 The Entrance Road Via Duffy.;;SYD;The Entrance;;02261;AU;61-2-43348000;61-2-43346094;4;-3.334.023;15.149.847;SABRE_GDS
100101438;23562;Oaks Oasis Resort;OH;2 Landsborough Parade;.;MCY;Caloundra;QLD;4551;AU;61-7-54910333;61-7-54910300;4;-26.806.792;153.122.058;SABRE_GDS
102261525;392172;Oaks Geelong Suites;OH;10 Bellerine Street;;MEL;Geelong;VIC;03220;AU;61-1300-459044;;4;-38.147.953;144.365.844;SABRE_GDS
100472244;606675;Birch Motel Bowen;OI;18512 Bruce Highway;;ZBO;Bowen;QLD;4805;AU;61-07-47862499;;02.May;-2.003.178;14.821.579;SABRE_GDS
100159590;284089;L Amor Holiday Apartments;OI;100 Scenic Highway;Lammermoor Beach;ROK;YEPPOON;QLD;4703;AU;0061-7-49336255;0061-7-49336661;4;-2.315.763;15.076.735;SABRE_GDS
